,-,-,-,,-,-,,-,,,,-,-,-,-,,-,-,-,-,-,-,,,POPULATION,,,,,URBAN EXTENT,,,,,,,,,,,,,,,,,DENSITY,,,,,,,,,,ROADS,,,,,,,,,,,,,,ARTERIAL ROADS,,,,,,,,,,,,,,,,,,BLOCKS AND PLOTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,-,-,-,,-,-,,-,,,,-,-,-,-,,-,-,-,-,-,-,,,Population,,,Avg. Annual % Change,,Urban Composition,,,,,,,,,,,,Avg. Annual % Change,,Urban Extent Actuals,,,Built-up Area,,,,,Urban Extent,,,,,Share of Built-up Area Occupied by Roads & Boulevards,,Average Street Width,,Street Width Composition,,,,,,,,,,Density of Arterial Roads,,,,,,Share of area within walking distance of arterial road,,,,,,Beeline distance to arterial roads,,,,,,Average Block Size,,Average Plot Size,,,,Composition of Residential Uses,,,,,,,,Composition of Added Area,,,,,,,,,,,,,,,,,,,,,,
,-,-,Areas and Densities,,,Blocks and Roads,,,Historical Data,,,-,-,-,-,,-,-,-,-,-,-,,,Population,,,Population,,Urban,,,Suburban,,,Rural,,,Open space,,,Total,,T1,T2,T3,Built-up Area,,,Avg. Annual % Change,,Urban Extent,,,Avg. Annual % Change,,Share of Built-up Area Occupied by Roads & Boulevards,,Average Street Width,,<4m,,4-8m,,8-12m,,12-16m,,>16m,,All,,Wide,,Narrow,,All,,Wide,,Narrow,,All,,Wide,,Narrow,,Average Block Size,,Average Plot Size in Informal Land Subdivisions,,Average Plot Size in Formal Land Subdivisions,,Share of Residential in Atomistic Settlements,,Share of Residential in Informal Subdivisions,,Share of Residential in Formal Subdivisions,,Share of Residential in Housing Projects,,Total added area (ha),,,,"added area, infill (ha)",,,,"added area, Extension (ha)",,,,"added area, Leapfrog (ha)",,,,Inclusion (ha),,,,,,
City Code,Latitude,Longitude,Maps,Metrics,GIS,Maps,Metrics,GIS,Maps,Metrics,GIS,Image,Flag,Source,Country,Region,Population,Extent,Density,T1,T2,T3,t2-t1,t3-t1,T1,T2,T3,T1-T2,T2-T3,T1,T2,T3,T1,T2,T3,T1,T2,T3,T1,T2,T3,T1-T2,T2-T3,,,,T1,T2,T3,T1-T2,T2-T3,T1,T2,T3,T1-T2,T2-T3,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre-1990,1990-2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,Pre - 1990,1990 - 2015,T1-T2,T2-T3,Ratio T1-T2/T2-T3,annual change T2-T3 (%),T1-T2,T2-T3,Percent T1-T2 added area,Percent T2-T3 added area,T1-T2,T2-T3,Percent T1-T2 added area,Percent T2-T3 added area,T1-T2,T2-T3,Percent T1-T2 added area,Percent T2-T3 added area,T1-T2,T2-T3,Percent T1-T2 added area,Percent T2-T3 added area,,,CIty COd Dane
REGION,-,-,-,,-,,,,,,,-,-,Trash (ASD),,,-,-,-,-,-,-,,,-,-,-,4.00%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-,5.10%,4.50%,-,-,-,165,123,97,-2.00%,-1.70%,103,85,67,-1.20%,-1.60%,0.21,0.23,8.21,7.54,0.25,0.16,0.37,0.48,0.16,0.25,0.08,0.07,0.14,0.05,2.26,1.59,1.41,0.91,0.85,0.67,0.96,0.85,0.86,0.72,0.68,0.62,182,342,308,542,572,691,4.22,4.37,-,513,481,307,24%,14%,13%,35%,45%,38%,18%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
REGION,-,-,-,,-,,,,,,,-,-,Trash (ASD),,,-,-,-,-,-,-,,,-,-,-,4.00%,2.80%,-,-,-,-,-,-,-,-,-,-,-,-,5.10%,4.50%,-,-,-,165,123,97,-2.00%,-1.70%,103,85,67,-1.20%,-1.60%,0.21,0.23,8.21,7.54,0.25,0.16,0.37,0.48,0.16,0.25,0.08,0.07,0.14,0.05,2.26,1.59,1.41,0.91,0.85,0.67,0.96,0.85,0.86,0.72,0.68,0.62,182,342,308,542,572,691,4.22,4.37,-,513,481,307,24%,14%,13%,35%,45%,38%,18%,13%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
REGION,-,-,-,,-,,,,,,,-,-,Colombia (Co),,,-,-,-,-,-,-,,,-,-,-,2.90%,1.80%,-,-,-,-,-,-,-,-,-,-,-,-,3.20%,1.90%,-,-,-,193.75,179,171,-0.90%,-0.37,127,125,123,-0.40%,-0.10%,0.23,0.21,9.2,6.7,0.13,0.21,0.37,0.48,0.16,0.25,0.08,0.07,0.09,0.05,2.82,2.21,1.41,0.91,0.85,0.67,0.96,0.93,0.71,0.66,0.68,0.62,156,212,308,542,572,691,1.84,4.14,60,52,132,91,9%,74%,27%,35%,53%,20%,12%,20%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,
1,3.985947863,-73.76155996,Acacias_T1_T2_T3.pdf,Acacias_metrics.jpg,Acacias.zip,Acacias.jpg,Acacias_Metrics.jpg,Acacias.zip,,,,Acacias.jpg,Acacias.png,Acacías,META,Colombia (Co),"55,575",829,67.02,1988-03-01,2000-09-01,2013-06-01,12.5,12.75,"19,489","33,631","55,575",4.40%,3.90%,26.34%,22.56%,45.54%,25.59%,29.37%,17.29%,2.71%,1.79%,1.28%,45.36%,46.27%,35.88%,2.90%,6.50%,252,362,829,141,173,105,1.60%,-3.90%,77,93,67,1.50%,-2.60%,0.22,0.23,10.7,6.9,3%,13%,11.50%,54.40%,55.20%,25.50%,26.00%,5.80%,5%,1%,4.5,2.4,0,0,4.5,2.43,1,0.96,0,0,0,0,60.07,182,0,-,60.07,182,2.5,2.3,-,115.7,110.1,99.9,12%,89%,0%,78%,88%,4%,0%,6%,56,336,5.96,-31.60%,5,61,9.20%,18.10%,16,224,29.00%,66.60%,12,18,21.00%,5.50%,23,33,40.70%,9.80%,,,50006
2,8.568354757,-74.55497921,Achi_T1_T2_T3.pdf,Achi_metrics.jpg,Achi.zip,Achi.jpg,Achi_Metrics.jpg,Achi.zip,,,,Achi.jpg,Achi.png,Achí,BOLÍVAR,Colombia (Co),"5,992",75,79.54,1987-01-01,2001-07-01,2014-07-01,14.5,13,"4,443","4,871","5,992",0.60%,1.60%,59.06%,45.26%,51.14%,0.00%,0.00%,0.00%,0.00%,0.17%,1.55%,40.94%,54.58%,47.31%,4.80%,2.50%,27,54,75,281,198,151,-2.40%,-2.10%,166,90,80,-4.20%,-1.00%,0.19,0.14,5.5,4.4,25%,40%,73.60%,49.70%,16.20%,10.30%,2.80%,0.40%,0%,0%,3.9,2.9,0,0,3.91,2.86,1,1,0,0,0,0,60.1,108.7,0,-,60.1,108.7,0.6,0.6,128,211.3,-,-,30%,45%,53%,45%,17%,0%,0%,0%,9,15,1.73,-16.70%,0,9,3.10%,58.90%,7,5,77.30%,29.80%,2,2,19.60%,11.30%,0,0,0.00%,0.00%,,,13006
3,8.30844,-73.6166,Aguachica_T1_T2_T3.pdf,Aguachica_metrics.jpg,Aguachica.zip,Aguachica.jpg,Aguachica_Metrics.jpg,Aguachica.zip,,,,Aguachica.jpg,Aguachica.png,Aguachica,CESAR,Colombia (Co),"77,254","1,039",74.39,1989-07-01,2001-01-01,2010-01-01,11.5,9,"43,124","63,082","77,254",3.30%,2.30%,49.00%,54.92%,63.34%,15.98%,13.27%,10.24%,1.35%,1.27%,0.86%,33.67%,30.54%,25.56%,2.20%,1.50%,701,906,"1,039",93,100,100,0.70%,0.00%,62,70,74,1.10%,0.70%,0.25,0.3,9.3,8.4,9%,9%,32.80%,38.10%,38.60%,37.60%,13.60%,11.40%,6%,4%,2.8,2.3,1.32,1.01,1.43,1.26,1,0.99,0.94,0.93,0.94,0.93,103.87,133.11,226.51,253.11,205.14,220.56,1.4,0.7,170.1,119.9,-,-,9%,78%,60%,73%,29%,0%,2%,5%,163,144,0.88,-56.60%,55,75,33.60%,52.50%,94,51,57.60%,35.60%,2,6,1.50%,4.30%,12,11,7.30%,7.70%,,,20011
4,5.758964,-73.914509,Albania_T1_T2_T3.pdf,Albania_metrics.jpg,Albania.zip,Albania.jpg,Albania_Metrics.jpg,Albania.zip,,,,Albania.jpg,Albania.png,Albania,SANTANDER,Colombia (Co),814,41,19.8,1991-01-01,2000-06-01,2016-11-01,9.42,16.42,447,493,814,1.00%,3.10%,45.18%,58.52%,42.92%,0.00%,0.00%,0.00%,4.06%,2.86%,1.97%,192.39%,190.49%,132.26%,5.00%,2.30%,18,28,41,104,58,69,-6.10%,1.00%,25,17,20,-3.90%,0.80%,0.19,0.46,5.5,5.4,14%,12%,77.40%,83.40%,8.40%,4.60%,0.00%,0.00%,0%,0%,7.5,5.7,0,0,7.54,5.71,1,1,0,0,0,0,22.58,35.2,0,-,22.58,35.2,1.9,3.7,-,-,-,-,47%,0%,33%,0%,20%,0%,0%,0%,8,1,0.12,-12.70%,2,0,26.70%,0.00%,5,1,64.40%,100.00%,1,0,8.90%,0.00%,0,0,0.00%,0.00%,,,68020
5,7.886994468,-76.63042936,Apartado_T1_T2_T3.pdf,Apartado_metrics.jpg,Apartado.zip,Apartado.jpg,Apartado_Metrics.jpg,Apartado.zip,,,,Apartado.jpg,Apartado.png,Apartadó,ANTIOQUIA,Colombia (Co),"143,496",602,238.54,1991-03-01,2001-02-01,2011-03-01,9.92,10.08,"53,535","98,334","143,496",6.10%,3.80%,23.31%,49.53%,51.93%,31.78%,17.28%,17.10%,1.35%,1.10%,0.94%,43.56%,32.09%,30.03%,3.40%,0.50%,408,573,602,232,253,341,0.80%,3.00%,131,172,239,2.70%,3.30%,0.2,0.23,6.9,6.2,12%,15%,56.80%,65.20%,25.30%,13.50%,4.90%,5.50%,1%,0%,2.2,2,0.93,0.7,1.23,1.27,0.99,0.99,0.99,0.98,0.99,0.98,175.49,165.46,209.55,243.57,284.88,248.93,1.1,0.6,152.4,77.2,319.6,-,4%,95%,69%,95%,28%,0%,0%,0%,158,31,0.2,-50.30%,47,17,29.80%,54.10%,89,11,56.30%,33.50%,7,1,4.40%,2.90%,15,3,9.50%,9.50%,,,5045
6,8.851275465,-76.42751502,Arboletes_T1_T2_T3.pdf,Arboletes_metrics.jpg,Arboletes.zip,Arboletes.jpg,Arboletes_Metrics.jpg,Arboletes.zip,,,,Arboletes.jpg,Arboletes.png,Arboletes,ANTIOQUIA,Colombia (Co),"18,329",175,104.81,1991-03-01,2001-01-01,2015-01-01,9.84,14,"7,148","10,932","18,329",4.30%,3.70%,31.59%,37.11%,42.05%,28.18%,27.09%,23.37%,4.02%,1.78%,1.18%,36.21%,34.02%,33.40%,2.50%,1.00%,119,152,175,94,109,157,1.50%,2.60%,60,72,105,1.80%,2.70%,0.2,0.29,5.8,4.7,16%,28%,69.50%,68.80%,12.70%,3.60%,1.60%,0.00%,0%,0%,2.9,2.7,1.99,1.91,0.87,0.76,1,1,1,1,1,1,97.51,108.72,119.08,154.1,101.37,132.42,0.8,0.6,-,129.3,-,-,25%,70%,64%,70%,11%,0%,0%,0%,24,15,0.65,-22.60%,6,5,23.60%,30.80%,17,11,72.20%,69.20%,0,0,0.00%,0.00%,1,0,4.20%,0.00%,,,5051
7,9.850250888,-74.23655246,Ariguani_T1_T2_T3.pdf,Ariguani_metrics.jpg,Ariguani.zip,Ariguani.jpg,Ariguani_Metrics.jpg,Ariguani.zip,,,,Ariguani.jpg,Ariguani.png,Ariguaní,MAGDALENA,Colombia (Co),"22,577",278,81.08,1989-12-01,2001-02-01,2015-01-01,11.17,13.91,"10,871","15,805","22,577",3.40%,2.60%,12.31%,37.44%,40.50%,35.87%,23.37%,21.72%,5.65%,2.25%,2.20%,46.17%,36.94%,35.59%,4.50%,0.70%,153,252,278,132,99,126,-2.50%,1.70%,71,63,81,-1.10%,1.80%,0.16,0.19,7.3,4.3,3%,34%,67.10%,60.70%,25.10%,5.10%,4.50%,0.30%,0%,0%,3.4,2.1,0,0,3.43,2.1,1,0.99,0,0,0,0,76.75,177.56,0,-,76.75,177.56,1.2,1.1,-,144.5,-,-,34%,93%,66%,92%,0%,1%,0%,0%,76,20,0.26,-31.10%,18,8,23.80%,40.20%,46,9,60.30%,43.80%,1,1,1.40%,5.90%,11,2,14.40%,10.00%,,,47058
