City Code,Category,Latitude,Longitude,PDF,GIS,Source,REGION,Country,Images,Population,City Size,GDP,Urban Extent,,,Urban layout,,,,Density Change,,Fragmentation,,Population Growth,,Urban Expansion,,Average block size,,Gridded/Not Gridded,,Share of built-up area occupied by roads and boulevards,,Share of Residential Planned Before Development,,Share of streets less than 4m wide,,Share within walking distance of an arterial road,,Suburban Built Up,,,Urban Built Up,,
,,,,,,,,,,,,,T1,T2,T3,Arterial Roads,Medians,Locales,Blocks,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,T1,T2,T3,T1,T2,T3
N/A,WORLD,N/A,N/A,N/A,N/A,WORLD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,%,%,%,%,%,%,%,%,##,##,%,%,%,%,%,%,%,%,%,%,##,##,##,##,##,##
3804,CITY,24.7994,-107.3897,File Name,File Name,Culiacan,Latin America and the Caribbean,,Culiacan.jpg,"625,346",2,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.9%,-0.7%,0.2%,-0.8%,2.5%,1.8%,3.4%,2.5%,1.7,2.8,0%,0%,23%,29%,58%,84%,25%,26%,98%,86%,##,##,##,##,##,##
1241,CITY,-25.4278,-49.2731,File Name,File Name,Curitiba,Latin America and the Caribbean,,Curitiba.jpg,"2,728,388",3,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.4%,0.0%,-2.8%,-1.9%,4.3%,1.9%,5.7%,1.9%,7.3,5.3,8%,0%,27%,16%,98%,70%,8%,17%,98%,90%,##,##,##,##,##,##
1126,CITY,23.7104,90.4074,File Name,File Name,Dhaka,South and Central Asia,,Dhaka.jpg,"13,609,023",4,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.2%,1.7%,-0.7%,-2.2%,5.2%,4.9%,5.0%,3.3%,2.4,5.8,0%,0%,21%,12%,68%,8%,25%,56%,97%,90%,##,##,##,##,##,##
4296,CITY,56.2414,43.4554,File Name,File Name,Dzerzhinsk,Europe and Japan,,Dzerjinsk.jpg,"183,841",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.0%,-1.6%,-3.0%,-1.3%,-1.0%,-0.9%,1.0%,0.6%,2.0,0.8,28%,8%,13%,31%,52%,17%,40%,57%,75%,73%,##,##,##,##,##,##
1703,CITY,-27.5967,-48.5492,File Name,File Name,Guixi,East Asia and the Pacific,,Guixi (part of yingtan?).jpg,"198,120",1,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,7.2%,-5.5%,-1.5%,-2.0%,13.8%,4.3%,6.6%,9.8%,1.6,7.9,0%,0%,25%,18%,77%,33%,48%,38%,100%,89%,##,##,##,##,##,##
1245,CITY,29.6446,-82.3289,File Name,File Name,Florianapolis,Latin America and the Caribbean,,Florianopolis.jpg,"532,951",2,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.8%,-0.5%,-1.6%,-0.4%,2.8%,2.6%,3.6%,3.1%,5.3,5.7,0%,0%,19%,19%,77%,81%,18%,18%,96%,85%,##,##,##,##,##,##
3567,CITY,10.2897,11.1673,File Name,File Name,Fukuoka,Europe and Japan,,Fukuoka.jpg,"2,306,030",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.9%,-0.2%,-1.7%,-0.8%,1.0%,0.7%,2.9%,0.9%,2.1,1.9,3%,0%,24%,29%,97%,66%,7%,46%,97%,97%,##,##,##,##,##,##
4943,CITY,52.4345,30.9754,File Name,File Name,Gainesville,Land-Rich Developed Countries,,Gainesville.jpg,"175,756",1,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.7%,0.0%,-0.3%,0.1%,1.9%,1.9%,2.7%,1.9%,4.5,7.6,0%,0%,18%,18%,77%,77%,11%,13%,97%,93%,##,##,##,##,##,##
1683,CITY,36.8417,54.4436,File Name,File Name,Gaoyou,East Asia and the Pacific,,File Name,"186,351",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-8.8%,-3.6%,1.6%,-0.7%,-2.3%,6.0%,6.5%,9.6%,2.3,8.0,0%,0%,23%,23%,92%,50%,5%,24%,83%,91%,##,##,##,##,##,##
4005,CITY,20.6667,-103.3333,File Name,File Name,Gombe,Sub-Saharan Africa,,Gombe.jpg,"416,874",1,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,1.1%,-3.1%,-2.6%,-0.2%,3.6%,4.8%,2.6%,7.9%,2.8,2.5,0%,0%,23%,21%,87%,57%,10%,23%,97%,81%,##,##,##,##,##,##
1156,CITY,23.1255,113.2574,File Name,File Name,Gomel,Europe and Japan,,Gomel.jpg,"508,557",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-3.8%,-0.4%,0.1%,-0.2%,1.4%,0.1%,5.2%,0.5%,4.1,5.1,3%,3%,26%,16%,91%,90%,7%,26%,72%,71%,##,##,##,##,##,##
3409,CITY,14.6127,-90.5307,File Name,File Name,Gorgan,South and Central Asia,,Gorgan.jpg,"375,741",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,2.2%,1.7%,-2.2%,-0.5%,5.1%,3.6%,2.9%,1.9%,3.3,7.0,0%,0%,15%,24%,30%,65%,40%,20%,99%,93%,##,##,##,##,##,##
3809,CITY,30.332,107.348,File Name,File Name,Guadalajara,Latin America and the Caribbean,,Guadalajara.jpg,"4,375,721",3,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.3%,-0.9%,-1.9%,0.5%,1.9%,1.8%,2.1%,2.7%,4.0,3.2,0%,3%,21%,27%,44%,76%,27%,10%,97%,86%,##,##,##,##,##,##
1697,CITY,35.1461,126.9186,File Name,File Name,Guangzhou,East Asia and the Pacific,,Guangzhou.jpg,"24,657,221",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-10.0%,-1.7%,-1.4%,-0.9%,16.8%,5.1%,26.8%,6.8%,3.6,5.2,13%,0%,23%,19%,88%,32%,6%,34%,97%,70%,##,##,##,##,##,##
2821,CITY,20.0274,110.3301,File Name,File Name,Guatemala_City,Latin America and the Caribbean,,Guatemala.jpg,"2,654,085",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,2.1%,0.5%,-1.0%,-1.8%,5.0%,2.4%,2.8%,1.9%,5.2,2.0,0%,3%,20%,20%,54%,81%,18%,12%,95%,90%,##,##,##,##,##,##
3688,CITY,51.4872,11.9699,File Name,File Name,Gwangju,East Asia and the Pacific,,Gwangju.jpg,"1,368,716",2,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.7%,-1.9%,1.1%,-2.0%,3.6%,1.7%,8.3%,3.6%,3.8,4.3,5%,0%,19%,25%,70%,37%,18%,43%,100%,92%,##,##,##,##,##,##
1711,CITY,30.2937,120.1614,File Name,File Name,Haikou,East Asia and the Pacific,,Haikou.jpg,"1,247,662",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.6%,-2.2%,-0.6%,-0.2%,4.2%,4.0%,5.8%,6.2%,5.3,4.6,3%,0%,13%,21%,60%,44%,33%,24%,96%,92%,##,##,##,##,##,##
2754,CITY,13.8289,77.4933,File Name,File Name,Halle,Europe and Japan,,Halle.jpg,"235,706",1,N/A,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-5.2%,-1.7%,-2.3%,-0.6%,-1.0%,-0.9%,4.2%,0.8%,1.6,4.3,5%,0%,21%,15%,84%,65%,17%,40%,98%,96%,##,##,##,##,##,##
1723,CITY,10.75,106.6667,File Name,File Name,Hangzhou,East Asia and the Pacific,,Hangzhou.jpg,"10,446,329",3,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,18.9%,-3.1%,-2.0%,0.0%,41.3%,8.2%,22.5%,11.4%,3.4,3.6,0%,10%,20%,27%,89%,57%,23%,38%,99%,66%,##,##,##,##,##,##
3027,CITY,20.8872,-76.2631,File Name,File Name,Hindupur,South and Central Asia,,Hindupur.jpg,"106,830",1,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.4%,-5.0%,-1.1%,-0.9%,2.0%,3.0%,6.4%,8.0%,2.1,2.5,3%,3%,23%,20%,84%,75%,15%,39%,100%,95%,##,##,##,##,##,##
5215,CITY,22.2796,114.1887,File Name,File Name,Ho_Chi_Minh_City,Southeast Asia,,Ho Chi Minh City.jpeg,"10,187,671",4,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.8%,-3.7%,-1.3%,1.5%,4.0%,6.3%,8.8%,10.0%,3.0,5.3,0%,0%,27%,15%,88%,39%,6%,34%,97%,82%,##,##,##,##,##,##
2553,CITY,29.7602,-95.3694,File Name,File Name,Holguin,Latin America and the Caribbean,,Holguin.jpg,"263,345",1,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.5%,0.5%,-0.1%,-0.2%,1.3%,0.8%,1.8%,0.3%,3.6,8.5,0%,0%,19%,21%,48%,25%,27%,19%,92%,92%,##,##,##,##,##,##
1750,CITY,17.3753,78.4744,File Name,File Name,Hong_Kong,East Asia and the Pacific,,Hong Kong.jpg,"4,322,119",4,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.9%,-0.3%,-0.7%,-0.6%,0.9%,0.5%,2.9%,0.8%,2.2,3.7,10%,11%,20%,20%,75%,51%,11%,25%,99%,97%,##,##,##,##,##,##
4963,CITY,7.3878,3.8964,File Name,File Name,Houston,Land-Rich Developed Countries,,Houston.JPG,"5,399,338",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.2%,-0.1%,-2.4%,-0.3%,3.2%,2.7%,3.4%,2.8%,4.1,6.7,0%,0%,18%,20%,46%,74%,17%,12%,97%,80%,##,##,##,##,##,##
3035,CITY,-14.7889,-39.0494,File Name,File Name,Hyderabad,South and Central Asia,,Hyderabad.jpg,"7,609,285",4,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.3%,-1.0%,-2.3%,-0.2%,2.8%,2.7%,7.1%,3.7%,2.3,3.0,0%,0%,23%,21%,66%,69%,30%,23%,98%,90%,##,##,##,##,##,##
4007,CITY,4.5833,101.0833,File Name,File Name,Ibadan,Sub-Saharan Africa,,Ibadan.jpg,"2,954,967",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.4%,-0.1%,-1.6%,1.0%,2.5%,2.7%,2.1%,2.8%,3.7,4.2,8%,5%,23%,12%,70%,25%,19%,69%,82%,65%,##,##,##,##,##,##
1256,CITY,41.0138,28.9497,File Name,File Name,Ilheus,Latin America and the Caribbean,,Ilhéus.jpg,"97,888",1,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-5.6%,-2.7%,-2.0%,-1.0%,4.0%,-1.7%,9.6%,1.0%,2.5,3.3,0%,0%,18%,21%,84%,87%,37%,7%,98%,88%,##,##,##,##,##,##
3751,CITY,26.9167,75.8167,File Name,File Name,Ipoh,Southeast Asia,,Ipoh.jpg,"793,675",2,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.6%,0.5%,-1.7%,-1.7%,3.2%,2.3%,3.8%,1.8%,2.4,3.2,0%,0%,32%,30%,66%,58%,25%,9%,79%,71%,##,##,##,##,##,##
4693,CITY,19.8333,75.8833,File Name,File Name,Istanbul,Western Asia and North Africa,,Istanbul.jpg,"13,974,428",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.4%,-2.5%,-1.9%,-5.2%,3.0%,1.2%,5.3%,3.7%,5.6,4.3,0%,3%,15%,28%,55%,54%,25%,14%,99%,94%,##,##,##,##,##,##
3043,CITY,-13.8575,-40.0836,File Name,File Name,Jaipur,South and Central Asia,,Jaipur.JPG,"2,938,602",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-5.0%,-2.4%,-2.3%,0.9%,4.3%,1.1%,9.4%,3.5%,1.7,2.2,5%,13%,18%,27%,99%,76%,26%,18%,96%,90%,##,##,##,##,##,##
3046,CITY,36.6767,116.9971,File Name,File Name,Jalna,South and Central Asia,,File Name,"278,314",1,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-3.3%,-0.7%,-2.0%,-1.0%,2.5%,0.9%,5.7%,1.6%,3.0,5.3,0%,0%,18%,18%,45%,38%,23%,29%,96%,93%,##,##,##,##,##,##
1266,CITY,35.1928,128.0847,File Name,File Name,Jequie,Latin America and the Caribbean,,Jequié.jpg,"128,045",1,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.1%,-1.5%,-4.2%,-0.1%,0.7%,-0.2%,4.8%,1.3%,4.2,3.1,0%,8%,16%,26%,58%,80%,18%,29%,83%,79%,##,##,##,##,##,##
1816,CITY,-26.2023,28.0436,File Name,File Name,Jinan,East Asia and the Pacific,,Jinan.jpg,"3,316,828",3,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.1%,-1.2%,0.9%,0.0%,3.0%,3.1%,4.1%,4.3%,4.6,7.2,0%,0%,25%,22%,74%,50%,14%,42%,86%,76%,##,##,##,##,##,##
4488,CITY,34.5289,69.1725,File Name,File Name,Johannesburg,Sub-Saharan Africa,,Johannesburg.jpg,"8,000,159",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,3.0%,0.4%,-0.7%,-3.0%,4.9%,3.5%,1.8%,3.2%,1.3,5.3,10%,5%,21%,18%,100%,73%,8%,22%,93%,49%,##,##,##,##,##,##
1003,CITY,22.3724,112.7026,File Name,File Name,Kabul,South and Central Asia,,Kabul.jpg,"3,536,646",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,4.1%,-0.8%,-1.0%,-0.5%,5.4%,2.9%,1.4%,3.7%,5.9,2.5,0%,0%,21%,20%,61%,71%,11%,30%,85%,82%,##,##,##,##,##,##
1859,CITY,35.673,10.0957,File Name,File Name,Kaiping,East Asia and the Pacific,,Kaiping.jpg,"191,749",1,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-6.3%,-1.3%,-2.7%,-0.6%,16.1%,0.1%,22.4%,1.5%,2.2,2.5,0%,0%,19%,24%,83%,80%,19%,33%,100%,92%,##,##,##,##,##,##
4734,CITY,0.3163,32.5822,File Name,File Name,Kampala,Sub-Saharan Africa,,Kampala.jpg,"3,017,000",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,1.4%,0.8%,-0.9%,-0.3%,5.5%,5.0%,4.2%,4.3%,5.7,7.5,0%,0%,12%,12%,61%,32%,22%,42%,98%,84%,##,##,##,##,##,##
3068,CITY,26.4667,80.35,File Name,File Name,Kanpur,South and Central Asia,,Kanpur.jpg,"2,795,714",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.9%,-1.0%,-2.7%,0.0%,2.5%,0.7%,3.4%,1.7%,3.3,3.4,0%,0%,23%,23%,91%,46%,13%,38%,97%,91%,##,##,##,##,##,##
4096,CITY,24.9056,67.0822,File Name,File Name,Karachi,South and Central Asia,,Karachi.jpg,"12,787,536",4,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,1.3%,-0.3%,-0.4%,0.7%,5.7%,1.9%,4.4%,2.2%,2.7,2.4,23%,13%,32%,23%,76%,64%,5%,30%,99%,98%,##,##,##,##,##,##
3730,CITY,54.9,23.9,File Name,File Name,Kaunas,Europe and Japan,,Kaunas.jpg,"298,743",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.4%,-3.0%,-1.4%,0.2%,-0.9%,-1.6%,0.5%,1.4%,2.1,5.5,0%,0%,26%,12%,58%,73%,10%,31%,90%,90%,##,##,##,##,##,##
4699,CITY,38.7322,35.4853,File Name,File Name,Kayseri,Western Asia and North Africa,,Kayseri.jpeg,"673,805",2,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.8%,-2.0%,-2.2%,-0.8%,9.6%,3.2%,14.5%,5.1%,2.4,3.3,10%,0%,22%,27%,74%,56%,19%,28%,99%,93%,##,##,##,##,##,##
4572,CITY,15.5518,32.5324,File Name,File Name,Khartoum,Western Asia and North Africa,,khartoum.jpg,"5,061,792",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,1.9%,0.0%,-3.4%,-2.6%,3.4%,7.3%,1.5%,7.2%,3.0,1.7,23%,0%,19%,23%,48%,82%,21%,21%,89%,74%,##,##,##,##,##,##
4426,CITY,-1.9474,30.0579,File Name,File Name,Kigali,Sub-Saharan Africa,,Kigali.jpeg,"821,881",2,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-3.2%,-0.6%,-4.2%,-0.2%,5.6%,4.4%,8.8%,4.9%,2.3,4.6,8%,5%,24%,14%,87%,30%,21%,32%,95%,86%,##,##,##,##,##,##
4978,CITY,31.1056,-97.7266,File Name,File Name,Killeen,Land-Rich Developed Countries,,Killeen.jpg,"225,248",1,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.8%,0.6%,-0.4%,-0.2%,2.6%,4.8%,1.8%,4.2%,3.7,5.4,0%,0%,25%,23%,67%,81%,35%,13%,76%,75%,##,##,##,##,##,##
2516,CITY,-4.3276,15.3136,File Name,File Name,Kinshasha,Sub-Saharan Africa,,Kinshasa.jpg,"10,226,183",4,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.6%,0.2%,-8.5%,-0.9%,6.8%,3.7%,11.3%,3.5%,2.4,2.7,0%,0%,24%,13%,61%,59%,31%,37%,84%,65%,##,##,##,##,##,##
3090,CITY,33.6064,130.4181,File Name,File Name,Kolkata,South and Central Asia,,Kolkata.jpg,"15,123,555",4,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.5%,-3.7%,-0.2%,-1.9%,2.5%,0.9%,4.9%,4.7%,7.5,4.8,0%,0%,19%,10%,88%,24%,9%,60%,92%,84%,##,##,##,##,##,##
3097,CITY,22.5335,88.356,File Name,File Name,Kozhikode,South and Central Asia,,Kozhikode.jpeg,"1,171,852",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-10.4%,-7.6%,-2.6%,0.2%,7.7%,7.6%,18.1%,15.2%,7.7,7.5,3%,0%,25%,8%,99%,45%,6%,44%,98%,88%,##,##,##,##,##,##
4031,CITY,11.2567,75.7787,File Name,File Name,Lagos,Sub-Saharan Africa,,Lagos.jpg,"11,008,357",4,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.3%,0.5%,-0.1%,0.2%,4.2%,3.0%,4.4%,2.6%,2.8,4.8,0%,0%,22%,16%,87%,55%,24%,20%,85%,70%,##,##,##,##,##,##
4105,CITY,6.4531,3.3958,File Name,File Name,Lahore,South and Central Asia,,Lahore.jpg,"9,682,207",4,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,2.6%,0.4%,-0.2%,-0.6%,5.6%,4.1%,3.0%,3.6%,3.1,1.9,3%,0%,17%,24%,57%,84%,35%,32%,99%,97%,##,##,##,##,##,##
4597,CITY,31.5497,74.3436,File Name,File Name,Lausanne,Europe and Japan,,Lausanne.jpg,"306,229",1,N/A,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.4%,0.2%,-2.5%,-0.9%,2.1%,1.1%,3.5%,1.0%,1.0,6.6,15%,0%,18%,24%,93%,62%,52%,21%,100%,99%,##,##,##,##,##,##
2685,CITY,46.516,6.6328,File Name,File Name,Le_Mans,Europe and Japan,,Le Mans.jpg,"179,135",1,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.6%,-0.9%,-0.4%,0.5%,0.2%,0.1%,0.7%,1.1%,6.0,6.3,3%,0%,13%,21%,47%,45%,20%,34%,100%,99%,##,##,##,##,##,##
3975,CITY,48,0.2,File Name,File Name,Leon,Latin America and the Caribbean,,Leon.jpg,"160,355",1,N/A,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.8%,-1.1%,-6.2%,-0.2%,0.7%,1.3%,5.5%,2.3%,3.3,5.8,0%,0%,20%,19%,67%,81%,24%,19%,99%,96%,##,##,##,##,##,##
1892,CITY,12.4379,-86.878,File Name,File Name,Leshan,East Asia and the Pacific,,Leshan.jpeg,"524,838",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.7%,-3.3%,0.4%,-0.1%,5.1%,4.8%,9.8%,8.2%,3.2,4.9,0%,0%,22%,18%,64%,21%,30%,27%,97%,61%,##,##,##,##,##,##
4822,CITY,29.5762,103.759,File Name,File Name,London,Europe and Japan,,London.jpeg,"11,197,941",4,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.7%,0.8%,-0.8%,-0.5%,1.2%,1.1%,1.9%,0.2%,1.8,8.2,0%,0%,20%,10%,77%,59%,20%,18%,98%,78%,##,##,##,##,##,##
4998,CITY,51.5085,-0.1257,File Name,File Name,Los_Angeles,Land-Rich Developed Countries,,Los Angeles.jpg,"15,138,973",4,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.1%,0.1%,-1.3%,-0.9%,1.3%,0.5%,1.2%,0.4%,1.9,6.5,0%,0%,16%,26%,43%,66%,19%,18%,96%,21%,##,##,##,##,##,##
1053,CITY,34.0317,-118.2417,File Name,File Name,Luanda,Sub-Saharan Africa,,Luanda.jpeg,"5,555,024",3,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.4%,-0.5%,0.2%,-0.3%,6.0%,5.2%,5.6%,5.7%,4.9,2.4,5%,0%,17%,17%,61%,45%,26%,31%,78%,58%,##,##,##,##,##,##
2521,CITY,-8.8368,13.2343,File Name,File Name,Lubumbashi,Sub-Saharan Africa,,lubumbashi.jpg,"1,746,415",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.2%,0.1%,-2.6%,-0.9%,4.3%,4.1%,4.1%,4.0%,1.7,3.3,0%,0%,31%,16%,79%,66%,17%,33%,90%,74%,##,##,##,##,##,##
4538,CITY,-11.6609,27.4794,File Name,File Name,Madrid,Europe and Japan,,Madrid.jpg,"5,256,249",4,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.9%,-3.6%,0.3%,-1.5%,1.6%,2.4%,4.5%,6.0%,1.4,5.5,0%,0%,24%,29%,94%,69%,5%,22%,96%,90%,##,##,##,##,##,##
4705,CITY,40.4165,-3.7026,File Name,File Name,Malatya,Western Asia and North Africa,,Malatya.JPG,"394,722",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.7%,-1.2%,-1.7%,-0.2%,4.9%,2.0%,4.2%,3.2%,5.7,5.9,0%,0%,17%,28%,48%,32%,18%,20%,90%,79%,##,##,##,##,##,##
3115,CITY,38.35,38.3167,File Name,File Name,Malegaon,South and Central Asia,,Malegaon.jpg,"461,737",2,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.2%,-1.6%,-1.2%,-1.8%,2.2%,2.7%,3.4%,4.3%,2.9,1.7,15%,0%,24%,27%,72%,46%,12%,40%,82%,78%,##,##,##,##,##,##
4824,CITY,20.55,74.5333,File Name,File Name,Manchester,Europe and Japan,,Manchester.jpg,"2,585,614",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.8%,0.4%,-0.7%,-0.4%,0.0%,0.7%,0.8%,0.3%,2.1,11.1,0%,0%,14%,19%,80%,65%,28%,35%,97%,97%,##,##,##,##,##,##
4192,CITY,53.481,-2.2374,File Name,File Name,Manila,Southeast Asia,,Manila.jpg,"19,485,398",4,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.2%,0.8%,-2.5%,0.6%,4.1%,2.8%,3.9%,2.0%,6.3,2.7,0%,0%,22%,22%,95%,65%,7%,23%,95%,90%,##,##,##,##,##,##
3891,CITY,14.6042,120.9822,File Name,File Name,Marrakech,Western Asia and North Africa,,Marrakech.jpeg,"770,422",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.1%,-2.2%,-1.7%,1.3%,2.3%,3.3%,2.4%,5.6%,5.3,4.8,5%,0%,13%,26%,8%,62%,41%,20%,97%,85%,##,##,##,##,##,##
3344,CITY,31.6315,-8.0083,File Name,File Name,Medan,Southeast Asia,,Medan.jpeg,"3,771,804",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.9%,-1.5%,1.8%,-1.8%,7.2%,2.3%,9.0%,3.8%,1.7,7.6,23%,0%,15%,11%,0%,29%,26%,37%,88%,68%,##,##,##,##,##,##
3920,CITY,3.5833,98.6667,File Name,File Name,Mergui,Southeast Asia,,Mergui.jpg,"216,734",1,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.8%,-4.7%,-0.8%,1.6%,0.5%,6.2%,2.2%,10.9%,5.8,6.5,0%,0%,17%,13%,41%,32%,7%,36%,69%,63%,##,##,##,##,##,##
3793,CITY,19.4273,-99.1419,File Name,File Name,Mexico_City,Latin America and the Caribbean,,Mexico.jpg,"17,765,121",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.3%,-0.6%,-2.0%,-1.5%,2.5%,2.5%,2.8%,3.0%,5.7,3.5,0%,0%,21%,23%,40%,72%,27%,15%,98%,77%,##,##,##,##,##,##
3514,CITY,45.5531,9.1834,File Name,File Name,Milan,Europe and Japan,,Milan.jpg,"6,402,051",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.4%,-1.8%,0.3%,-2.1%,2.3%,2.5%,4.7%,4.4%,2.3,7.1,0%,0%,20%,18%,61%,48%,32%,40%,94%,92%,##,##,##,##,##,##
5013,CITY,44.9731,-93.2699,File Name,File Name,Minneapolis,Land-Rich Developed Countries,,Minneapolis.jpg,"2,626,920",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.0%,-0.4%,-0.6%,0.0%,1.8%,1.0%,2.9%,1.4%,4.1,10.5,8%,0%,21%,21%,76%,70%,17%,16%,95%,92%,##,##,##,##,##,##
5015,CITY,37.6615,-120.9945,File Name,File Name,Modesto,Land-Rich Developed Countries,,Modesto.jpg,"458,146",1,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.1%,-0.7%,-3.1%,-0.6%,4.5%,2.2%,5.6%,2.9%,2.7,5.1,0%,0%,21%,29%,69%,85%,25%,22%,96%,92%,##,##,##,##,##,##
1391,CITY,45.5088,-73.5878,File Name,File Name,Montreal,Land-Rich Developed Countries,,Montreal.jpg,"3,317,850",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.2%,0.0%,-0.5%,-0.7%,0.5%,1.1%,0.7%,1.1%,2.7,5.0,0%,0%,18%,19%,91%,71%,9%,12%,97%,96%,##,##,##,##,##,##
4331,CITY,55.755,37.6218,File Name,File Name,Moscow,Europe and Japan,,Moscow.jpg,"15,220,986",4,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.4%,-1.4%,-1.0%,0.3%,2.0%,1.3%,3.4%,2.8%,5.5,4.8,3%,0%,16%,15%,80%,97%,18%,32%,79%,35%,##,##,##,##,##,##
