City Code,Category,Latitude,Longitude,PDF,GIS,Source,REGION,Country,Images,Population,City Size,GDP,Urban Extent,,,Urban layout,,,,Density Change,,Fragmentation,,Population Growth,,Urban Expansion,,Average block size,,Gridded/Not Gridded,,Share of built-up area occupied by roads and boulevards,,Share of Residential Planned Before Development,,Share of streets less than 4m wide,,Share within walking distance of an arterial road,,Suburban Built Up,,,Urban Built Up,,
,,,,,,,,,,,,,T1,T2,T3,Arterial Roads,Medians,Locales,Blocks,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,Pre-1990,1990-2015,T1,T2,T3,T1,T2,T3
N/A,WORLD,N/A,N/A,N/A,N/A,WORLD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,%,%,%,%,%,%,%,%,##,##,%,%,%,%,%,%,%,%,%,%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,"$3,000-$8,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-2.0%,-1.1%,-0.4%,-0.1%,3.8%,2.6%,6.2%,3.8%,3.7,5.9,%,%,21%,21%,66%,62%,21%,25%,81%,52%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,"$8,000-$20,000",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.5%,-1.7%,-0.8%,-0.3%,4.5%,3.1%,6.7%,5.1%,3.6,5.4,%,%,21%,19%,70%,54%,20%,30%,81%,59%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,"$20,000+",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.2%,-1.6%,-0.7%,0.0%,4.6%,3.1%,6.5%,4.7%,3.9,4.9,%,%,21%,23%,69%,60%,20%,25%,85%,58%,##,##,##,##,##,##
N/A,GDP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.2%,-1.6%,-0.7%,0.0%,4.6%,3.1%,6.5%,4.7%,3.9,4.9,%,%,21%,23%,69%,60%,20%,25%,85%,58%,##,##,##,##,##,##
2802,CITY,5.556,-0.1969,File Name,File Name,Accra,Sub-Saharan Africa,,Accra.jpg,"4,429,649",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-5.2%,-1.3%,-2.7%,1.9%,7.2%,4.0%,12.4%,5.3%,1.4,3.9,3%,30%,24%,14%,78%,49%,29%,26%,96%,68%,##,##,##,##,##,##
2644,CITY,9.025,38.7469,File Name,File Name,Addis_Ababa,Sub-Saharan Africa,,Addis Ababa (public domain).jpg,"3,009,130",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.0%,-2.1%,0.0%,-2.1%,3.0%,2.8%,3.1%,4.8%,5.8,3.2,0%,0%,15%,22%,50%,50%,9%,15%,99%,90%,##,##,##,##,##,##
2857,CITY,23.0333,72.6167,File Name,File Name,Ahmedabad,South and Central Asia,,Ahmedabad.jpg,"6,232,952",4,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.2%,0.2%,-1.7%,-0.8%,2.2%,2.1%,2.0%,1.9%,3.1,4.2,15%,0%,18%,24%,33%,73%,13%,18%,97%,95%,##,##,##,##,##,##
3388,CITY,31.3203,48.6693,File Name,File Name,Ahvaz,South and Central Asia,,Ahvaz.jpg,"1,178,560",2,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.6%,-0.6%,-1.5%,-0.3%,2.3%,2.5%,2.9%,3.1%,2.4,3.5,0%,0%,23%,23%,74%,65%,37%,20%,96%,91%,##,##,##,##,##,##
2600,CITY,31.1925,29.9046,File Name,File Name,Alexandria,Western Asia and North Africa,,Al Qayrawan.jpg,"4,345,193",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.4%,-0.5%,0.9%,0.0%,1.8%,2.3%,6.2%,2.8%,1.7,5.2,0%,3%,26%,23%,87%,65%,14%,27%,97%,81%,##,##,##,##,##,##
1012,CITY,36.7525,3.042,File Name,File Name,Algiers,Western Asia and North Africa,,Alexandria.jpg,"3,085,561",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.0%,-1.6%,-1.5%,-0.7%,2.7%,2.5%,4.7%,4.0%,3.8,6.7,0%,0%,22%,25%,79%,58%,17%,19%,89%,80%,##,##,##,##,##,##
4653,CITY,30.543,117.0533,File Name,File Name,Al_Qayrawan,Western Asia and North Africa,,Algiers.jpg,"127,570",1,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.7%,1.3%,-2.3%,-3.8%,2.6%,1.8%,4.4%,0.5%,2.2,2.9,15%,0%,27%,25%,87%,63%,12%,35%,99%,96%,##,##,##,##,##,##
1448,CITY,51.2199,4.4035,File Name,File Name,Anqing,East Asia and the Pacific,,Anqing.jpg,"642,626",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.4%,-4.1%,0.5%,-0.1%,-1.5%,4.5%,2.9%,8.6%,1.9,4.8,18%,0%,16%,25%,78%,47%,21%,35%,92%,85%,##,##,##,##,##,##
1166,CITY,-3.3667,36.6833,File Name,File Name,Antwerpen,Europe and Japan,,Antwerpen.jpg,"1,277,376",2,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.9%,0.0%,-0.1%,-0.6%,2.2%,1.1%,5.1%,1.1%,4.5,14.7,3%,5%,24%,13%,35%,11%,11%,21%,93%,91%,##,##,##,##,##,##
4618,CITY,46.3497,48.0408,File Name,File Name,Arusha,Sub-Saharan Africa,,Arusha.jpg,"377,169",1,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.3%,-0.8%,-1.8%,0.2%,6.4%,5.6%,10.8%,6.5%,3.8,5.0,0%,0%,24%,10%,46%,15%,24%,65%,100%,95%,##,##,##,##,##,##
4279,CITY,-36.8667,174.7667,File Name,File Name,Astrakhan,Europe and Japan,,Asthrakhan.jpg,"567,629",2,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.6%,0.1%,-1.6%,-0.7%,0.7%,0.6%,5.4%,0.5%,7.1,2.8,10%,8%,14%,20%,71%,64%,22%,29%,84%,80%,##,##,##,##,##,##
3965,CITY,10.6507,122.946,File Name,File Name,Auckland,Land-Rich Developed Countries,,Auckland.jpg,"1,300,733",2,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,1.1%,1.1%,-0.2%,-1.0%,1.7%,1.8%,0.6%,0.7%,4.8,8.1,5%,0%,21%,19%,65%,70%,21%,20%,93%,92%,##,##,##,##,##,##
4170,CITY,33.3406,44.4009,File Name,File Name,Bacolod,Southeast Asia,,Bacolod.jpg,"443,456",2,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-6.3%,-0.2%,-5.8%,0.0%,4.4%,1.1%,10.7%,1.3%,2.0,2.9,4%,3%,23%,21%,85%,62%,8%,28%,0%,90%,##,##,##,##,##,##
3471,CITY,40.3777,49.892,File Name,File Name,Baghdad,Western Asia and North Africa,,Baghdad.jpg,"5,279,193",4,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,2.4%,1.2%,-1.9%,-2.6%,3.4%,2.2%,1.0%,0.9%,9.3,4.1,33%,18%,18%,24%,90%,33%,8%,26%,86%,84%,##,##,##,##,##,##
1111,CITY,12.65,-8,File Name,File Name,Baku,Western Asia and North Africa,,Baku.jpg,"1,671,787",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.8%,-0.4%,-0.8%,-1.2%,0.5%,1.3%,3.2%,1.7%,4.2,3.9,14%,8%,26%,18%,71%,53%,23%,18%,90%,84%,##,##,##,##,##,##
3773,CITY,13.722,100.5252,File Name,File Name,Bamako,Sub-Saharan Africa,,Bamako (public domain).jpg,"2,358,106",3,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.2%,0.7%,-2.0%,-0.2%,10.7%,5.7%,10.9%,5.1%,3.1,1.6,0%,3%,24%,20%,69%,78%,10%,19%,98%,80%,##,##,##,##,##,##
4639,CITY,39.9075,116.3972,File Name,File Name,Bangkok,Southeast Asia,,Bangkok.jpg,"14,011,131",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.4%,-1.6%,-1.0%,-0.6%,3.0%,3.2%,3.5%,4.8%,3.5,5.4,3%,3%,23%,22%,83%,47%,4%,23%,83%,70%,##,##,##,##,##,##
1476,CITY,-19.8436,34.8389,File Name,File Name,Beijing,East Asia and the Pacific,,Beijing.jpg,"20,669,397",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.8%,-1.5%,1.0%,1.5%,4.6%,5.2%,5.4%,6.7%,5.1,4.5,10%,3%,23%,26%,59%,48%,21%,43%,89%,71%,##,##,##,##,##,##
3901,CITY,15.8521,74.5045,File Name,File Name,Beira,Sub-Saharan Africa,,Beira (public domain).jpg,"382,575",2,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.9%,-4.5%,-3.0%,1.5%,0.9%,8.0%,1.7%,12.6%,3.1,10.4,3%,0%,19%,11%,60%,15%,17%,29%,83%,58%,##,##,##,##,##,##
2905,CITY,44.8176,20.4633,File Name,File Name,Belgaum,South and Central Asia,,Belgaum.jpg,"636,865",2,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-3.9%,-4.4%,0.6%,-0.7%,4.0%,4.3%,7.9%,8.7%,2.2,2.7,13%,0%,19%,23%,85%,74%,8%,9%,100%,87%,##,##,##,##,##,##
4459,CITY,-19.9208,-43.9378,File Name,File Name,Belgrade,Europe and Japan,,Belgrade.jpg,"963,946",2,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.6%,-1.2%,-0.4%,0.8%,0.8%,0.7%,1.3%,1.9%,6.4,7.1,0%,0%,18%,14%,17%,62%,18%,37%,97%,93%,##,##,##,##,##,##
1216,CITY,59.4152,56.8124,File Name,File Name,Belo_Horizonte,Latin America and the Caribbean,,Belo Horizonte.jpg,"4,038,047",3,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.8%,0.3%,-2.2%,-0.7%,2.3%,1.2%,1.5%,0.8%,6.8,5.9,23%,10%,25%,20%,79%,85%,27%,17%,95%,92%,##,##,##,##,##,##
4284,CITY,52.5244,13.4105,File Name,File Name,Berezniki,Europe and Japan,,Berezniki.jpg,"112,760",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.1%,-1.9%,-2.2%,-0.6%,-0.7%,-1.2%,1.4%,0.7%,5.2,1.2,8%,15%,14%,32%,30%,86%,26%,36%,30%,37%,##,##,##,##,##,##
2728,CITY,29.595,106.231,File Name,File Name,Berlin,Europe and Japan,,Berlin.jpg,"3,860,243",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.2%,-2.2%,-1.0%,-0.3%,0.8%,0.7%,5.0%,2.9%,2.6,5.6,0%,0%,22%,18%,46%,88%,8%,17%,98%,95%,##,##,##,##,##,##
1483,CITY,4.6097,-74.0818,File Name,File Name,Bishan,East Asia and the Pacific,,Bishan.jpg,"238,159",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-5.1%,-12.7%,-3.4%,0.0%,3.0%,5.3%,8.1%,18.0%,3.1,6.3,3%,8%,23%,28%,71%,54%,22%,20%,100%,93%,##,##,##,##,##,##
2469,CITY,47.498,19.0399,File Name,File Name,Bogota,Latin America and the Caribbean,,Bogota.jpg,"7,801,693",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,2.1%,1.4%,-0.6%,-1.7%,3.2%,2.3%,1.2%,0.9%,3.0,4.2,3%,0%,23%,23%,76%,83%,11%,16%,98%,96%,##,##,##,##,##,##
2841,CITY,-34.6051,-58.4004,File Name,File Name,Budapest,Europe and Japan,,Budapest.jpg,"2,272,785",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.4%,-4.2%,0.2%,0.6%,-0.8%,1.7%,0.6%,5.9%,4.4,5.3,0%,0%,23%,16%,45%,76%,17%,15%,96%,90%,##,##,##,##,##,##
1057,CITY,39.7649,64.4124,File Name,File Name,Buenos_Aires,Latin America and the Caribbean,,Buenos Aires.jpg,"13,879,006",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.5%,-0.3%,-0.3%,-0.7%,0.7%,1.5%,1.1%,1.9%,3.0,3.5,3%,3%,22%,15%,65%,92%,24%,13%,98%,95%,##,##,##,##,##,##
5135,CITY,35.1028,129.0403,File Name,File Name,Bukhara,South and Central Asia,,Bukhara.jpg,"369,044",1,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-4.6%,-0.1%,-1.2%,-2.3%,12.8%,7.5%,17.4%,7.6%,3.4,10.0,0%,0%,25%,15%,87%,67%,13%,15%,89%,69%,##,##,##,##,##,##
5154,CITY,10.3883,-71.4399,File Name,File Name,Cabimas,Latin America and the Caribbean,,Cabimas.png,"460,894",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,1.9%,0.2%,-0.4%,-0.8%,4.7%,1.3%,2.8%,1.1%,0.9,4.4,3%,3%,33%,21%,99%,59%,21%,14%,97%,92%,##,##,##,##,##,##
2610,CITY,30.0392,31.2394,File Name,File Name,Cairo,Western Asia and North Africa,,Cairo.jpg,"15,734,934",4,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.2%,-5.7%,-2.5%,2.6%,2.0%,2.7%,3.2%,8.5%,3.5,4.1,18%,0%,23%,24%,80%,48%,7%,25%,83%,78%,##,##,##,##,##,##
5156,CITY,10.488,-66.8792,File Name,File Name,Caracas,Latin America and the Caribbean,,Caracas.jpg,"3,104,392",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,0.0%,-0.1%,-0.8%,-0.4%,1.2%,0.6%,1.2%,0.7%,1.9,6.3,0%,0%,25%,21%,92%,42%,14%,25%,92%,90%,##,##,##,##,##,##
4177,CITY,10.3167,123.8907,File Name,File Name,Cebu,Southeast Asia,,Cebu.jpg,"2,391,839",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-0.7%,0.2%,0.3%,-0.9%,5.0%,4.3%,5.7%,4.1%,3.5,4.4,0%,0%,20%,14%,85%,19%,7%,43%,91%,86%,##,##,##,##,##,##
1513,CITY,36.1921,113.1155,File Name,File Name,Changzhi,East Asia and the Pacific,,Changzhi.JPG,"822,355",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-3.3%,-0.7%,-1.5%,0.4%,2.4%,6.3%,5.6%,7.0%,2.4,5.7,5%,0%,26%,23%,98%,82%,3%,51%,98%,86%,##,##,##,##,##,##
1514,CITY,31.7943,119.9589,File Name,File Name,Changzhou,East Asia and the Pacific,,Changzhou.jpg,"3,075,746",3,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-7.9%,-2.9%,-1.5%,0.4%,4.0%,5.0%,11.9%,7.9%,4.0,5.7,0%,0%,19%,27%,80%,19%,11%,32%,99%,86%,##,##,##,##,##,##
1521,CITY,30.6667,104.0667,File Name,File Name,Chengdu,East Asia and the Pacific,,Chengdu.jpg,"9,339,734",4,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-3.3%,-6.2%,1.2%,-0.4%,7.7%,6.8%,11.0%,13.0%,3.7,8.0,3%,0%,16%,21%,97%,48%,4%,31%,98%,31%,##,##,##,##,##,##
3678,CITY,26.68,105.769,File Name,File Name,Cheonan,East Asia and the Pacific,,Cheonan.jpg,"552,995",1,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-6.3%,-1.8%,2.0%,0.8%,6.7%,6.9%,13.0%,8.6%,2.5,4.4,48%,15%,26%,26%,79%,31%,19%,37%,100%,82%,##,##,##,##,##,##
4898,CITY,36.8132,127.141,File Name,File Name,Chicago,Land-Rich Developed Countries,,Chicago.jpg,"8,913,778",4,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.0%,-0.5%,-0.3%,-0.1%,1.2%,0.4%,2.3%,0.8%,2.2,3.9,35%,8%,25%,25%,55%,76%,37%,27%,93%,92%,##,##,##,##,##,##
3695,CITY,41.85,-87.6501,File Name,File Name,Chinju,East Asia and the Pacific,,Chinju:Jinju.jpg,"317,194",1,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-3.2%,-9.2%,-0.5%,2.4%,-2.2%,5.1%,1.0%,14.3%,4.6,5.5,0%,3%,20%,17%,55%,11%,9%,54%,97%,80%,##,##,##,##,##,##
3320,CITY,-6.7063,108.557,File Name,File Name,Cirebon,Southeast Asia,,Cirebon.jpg,"1,044,889",1,$3000<,File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.1%,-1.6%,-0.9%,-2.2%,11.0%,8.5%,12.1%,10.0%,6.5,6.7,0%,0%,13%,14%,37%,37%,21%,32%,97%,77%,##,##,##,##,##,##
4901,CITY,41.4986,-81.6874,File Name,File Name,Cleveland,Land-Rich Developed Countries,,Cleveland.jpg,"1,865,023",3,"$20,000+",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-2.9%,-2.2%,-1.5%,-0.4%,1.7%,1.1%,4.6%,3.3%,4.4,7.7,0%,0%,24%,16%,85%,78%,38%,13%,95%,91%,##,##,##,##,##,##
1184,CITY,-17.3895,-66.1568,File Name,File Name,Cochabamba,Latin America and the Caribbean,,Cochabamba.jpg,"1,034,944",2,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.9%,-0.6%,-3.6%,0.5%,4.0%,2.7%,5.9%,3.3%,4.3,5.6,0%,0%,22%,19%,70%,68%,32%,25%,97%,82%,##,##,##,##,##,##
2958,CITY,10.9925,76.9614,File Name,File Name,Coimbatore,South and Central Asia,,Coimbatore.jpg,"1,650,080",3,"$3,000-$8,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.3%,0.4%,-0.2%,-0.6%,6.8%,4.1%,8.1%,3.6%,3.4,3.9,8%,0%,25%,24%,79%,76%,29%,17%,96%,93%,##,##,##,##,##,##
1060,CITY,-31.4135,-64.1811,File Name,File Name,Cordoba,Latin America and the Caribbean,,Cordoba.jpg,"1,392,944",2,"$8,000-$20,000",File Name,File Name,File Name,File Name,File Name,File Name,File Name,-1.2%,-1.2%,-0.3%,0.5%,0.9%,1.0%,2.1%,2.2%,5.5,5.7,0%,0%,16%,21%,26%,86%,22%,15%,95%,92%,##,##,##,##,##,##
